id,name,Release Year,Score Rating
5136,"Sakura Wars: So Long, My Love",2005.0,80.76
5199,Super Mario All-Stars,1993.0,83.79
5223,Tiger Woods PGA Tour 10,2009.0,80.01
5233,Top Spin 4,2011.0,81.54
5258,Virtua Tennis 4,2011.0,77.93
5349,Aero the Acro-Bat 2,1994.0,87.83
5369,Captain Tsubasa,1994.0,89.95
5401,Lunar: Eternal Blue,1994.0,89.97
5413,Twisted Metal: Black,2001.0,88.2
5418,Super Mario RPG: Legend of the Seven Stars,1996.0,88.86
5422,Radiant Silvergun,1998.0,87.06
5423,PowerMonger,1990.0,89.52
5440,Kirby Triple Deluxe,2014.0,81.82
5450,Wings,1990.0,89.84
5502,Transport Tycoon Deluxe,1995.0,85.09
5503,Batman: Arkham Knight,2015.0,89.53
5504,Transport Tycoon,1994.0,86.88
5508,The Banner Saga,2014.0,84.12
5514,Mystery Case Files: Dire Grove,2009.0,93.07
5550,Tactics Ogre: Let Us Cling Together,1995.0,92.87
5563,IL-2 Sturmovik: 1946,2007.0,91.85
5595,Awesomenauts Assemble!,2014.0,90.0
5613,Baldur's Gate II: Enhanced Edition,2013.0,88.79
5623,Severance: Blade of Darkness,2001.0,88.62
5626,Forced,2013.0,83.02
5641,Might & Magic X: Legacy,2014.0,77.91
5645,Bullet Soul Infinite Burst,2014.0,81.0
5654,Advanced Dungeons & Dragons Cartridge,1982.0,89.77
5831,Far Cry Instincts,2005.0,82.68
5850,Grand Theft Auto: The Trilogy,2005.0,86.9
5882,Kingdom Under Fire: Heroes,2005.0,85.76
5894,XCOM: Enemy Within,2013.0,87.78
5911,MechAssault 2: Lone Wolf,2004.0,83.58
5951,NBA Live 07,2006.0,75.45
5953,NCAA Football 07,2006.0,85.13
5954,NCAA Football 08,2007.0,86.25
5982,Pirates of the Caribbean,2003.0,70.4
6036,The Last of Us Remastered,2014.0,96.82
6154,Super Spy Hunter,1991.0,85.68
6165,Ultima VII: The Black Gate,1992.0,89.75
6256,Gratuitous Space Battles,2009.0,78.8
6279,DEVICE 6,2013.0,88.93
6291,Virtua Tennis,1999.0,69.13
6294,Worms World Party,2001.0,82.62
6325,Gemini Rue,2011.0,77.0
6341,Dwarf Fortress,2006.0,86.73
6375,Digimon: Battle Spirit 2,2002.0,89.02
6405,Gunstar Heroes,1993.0,72.6
6440,Monster Hunter 4 Ultimate,2014.0,89.23
6453,Katamari Damacy,2004.0,87.51
6454,We Love Katamari,2005.0,88.48
6456,Beautiful Katamari,2007.0,84.41
6459,Katamari Forever,2009.0,85.47
6462,Touch My Katamari,2011.0,74.26
6504,Mario Tennis: Power Tour,2005.0,83.71
6516,Radiant Historia,2010.0,86.03
6517,JoJo's Bizarre Adventure: All Star Battle,2013.0,77.84
6555,Art of Balance,2010.0,88.0
6614,Zero Escape: Virtue's Last Reward,2012.0,87.61
6616,Summon Night: Swordcraft Story 2,2004.0,90.01
6701,Edna & Harvey: Harvey's New Eyes,2012.0,75.2
6707,Tales from the Borderlands,2014.0,87.04
6739,Black Mesa,2020.0,89.36
6741,Guard Duty,2019.0,79.66
6763,Tennis for Two,1958.0,85.0
6838,Lego Friends,2013.0,51.5
6855,R-Type Leo,1992.0,88.73
6865,Puyo Puyo!! 20th Anniversary,2011.0,86.0
6887,Persona Q: Shadow of the Labyrinth,2014.0,88.96
6892,Style Savvy: Trendsetters,2012.0,90.5
6906,Unchained Blades,2011.0,77.5
6933,Capcom Digital Collection,2012.0,85.0
6962,Deadliest Catch: Alaskan Storm,2008.0,75.0
6967,Don Bradman Cricket 14,2014.0,84.74
6978,Dynasty Warriors: Gundam 2,2008.0,70.37
6982,Dynasty Warriors: Gundam 3,2010.0,79.51
7016,IL-2 Sturmovik: Birds of Prey,2009.0,83.27
7039,Knights Contract,2011.0,74.38
7046,Factorio,2020.0,88.19
7111,NCAA Football 10,2009.0,90.0
7130,Phantom Breaker,2011.0,85.0
7139,Ignition,1997.0,88.86
7140,Screamer,1995.0,83.99
7158,Record of Agarest War,2007.0,85.0
7160,Ridge Racer 6,2005.0,82.4
7167,Rumble Roses XX,2006.0,71.67
7178,SBK 08: Superbike World Championship,2008.0,75.0
7179,SBK 09: Superbike World Championship,2009.0,72.5
7180,SBK X: Superbike World Championship,2010.0,79.17
7189,Sonic's Ultimate Genesis Collection,2009.0,81.59
7194,Steins;Gate,2009.0,88.22
7275,Atelier Rorona: The Alchemist of Arland,2009.0,83.15
7278,Atelier Ayesha: The Alchemist of Dusk,2012.0,80.2
7331,Uncharted 4: A Thief's End,2016.0,94.0
7334,Bloodborne,2015.0,92.18
7342,INSIDE,2016.0,90.62
7344,Ori and the Blind Forest,2015.0,89.1
7346,The Legend of Zelda: Breath of the Wild,2017.0,96.45
7348,Halo: The Master Chief Collection,2014.0,86.13
7351,DOOM,2016.0,87.99
7356,Kingdom Hearts HD 1.5 ReMIX,2013.0,83.58
7386,The Talos Principle,2014.0,87.62
7397,Battleheart Legacy,2014.0,90.0
7406,Aquaria,2007.0,85.96
7444,Shovel Knight,2014.0,87.87
7464,Tales of Symphonia Chronicles,2013.0,84.54
7470,The Tomb Raider Trilogy,2011.0,90.45
7477,Valkyria Chronicles,2008.0,88.54
7489,Yakuza: Dead Souls,2011.0,77.4
7510,Pharaoh,1999.0,78.37
7512,Emperor: Rise of the Middle Kingdom,2002.0,84.64
7543,Gods Will Be Watching,2013.0,75.77
7585,SpaceEngine,2019.0,90.0
7592,Space Rangers,2002.0,88.18
7593,Space Rangers 2: Dominators,2004.0,87.02
7594,Space Rangers HD: A War Apart,2013.0,89.95
7595,Creeper World,2007.0,98.49
7603,Hellblade: Senua's Sacrifice,2017.0,85.63
7634,RUSH,2010.0,86.05
7635,Primordia,2012.0,76.22
7650,The Last Express,1997.0,89.94
7739,Might and Magic VII: For Blood and Honor,1999.0,89.1
7789,The Binding of Isaac: Rebirth,2014.0,91.56
7824,Choplifter III,1994.0,87.5
7841,Kingdom Hearts HD 2.5 ReMIX,2014.0,87.39
7881,ESPN NFL 2K5,2004.0,95.44
7900,Neverwinter Nights: Hordes of the Underdark,2003.0,89.82
7936,La-Mulana,2011.0,89.39
8002,TOCA World Touring Cars,2000.0,89.54
8072,Sanitarium,1998.0,88.69
8100,Haunting Starring Polterguy,1993.0,89.9
8145,Spelunky Classic,2008.0,90.11
8167,Rhythm Heaven,2008.0,87.08
8195,RoboCop Versus The Terminator,1993.0,87.28
8197,Tetris,1984.0,87.4
8199,Space Invaders Extreme 2,2009.0,85.51
8211,Dead or Alive 5: Last Round,2015.0,78.58
8214,Cave Story+,2011.0,84.59
8240,SOCOM II: U.S. Navy SEALs,2003.0,89.08
8247,Marvel vs. Capcom 2: New Age of Heroes,2000.0,82.79
8254,Resident Evil,2014.0,84.94
8257,Centurion: Defender of Rome,1990.0,90.32
8288,The Banner Saga 2,2016.0,87.01
8292,Discworld II: Missing Presumed...!?,1996.0,90.88
8293,Discworld Noir,1999.0,92.34
8307,Lemmings 2: The Tribes,1993.0,89.56
8362,Geneforge,2001.0,86.62
8389,ToeJam & Earl,1991.0,89.14
8467,Velocity 2X,2014.0,84.41
8471,Startopia,2001.0,89.87
8477,Alien vs Predator,1994.0,89.02
8492,Lisa,2014.0,93.95
8584,Fistful of Frags,2014.0,85.68
8593,The Legend of Zelda: Majora's Mask 3D,2015.0,91.35
8711,Marathon Infinity,1996.0,90.72
8734,Super Mario Bros. Crossover,2010.0,89.97
8735,Abobo's Big Adventure,2012.0,89.23
8749,N+,2008.0,83.87
8750,N++,2015.0,88.91
8763,Crimzon Clover: World Ignition,2014.0,89.38
8773,Homeworld: Remastered Collection,2015.0,91.15
8864,Shadowrun: Dragonfall - Director's Cut,2014.0,82.63
8912,Fast Food Tycoon,2000.0,89.4
8947,Guild Wars: Nightfall,2006.0,82.7
8968,Everlasting Summer,2014.0,88.66
8969,Guild Wars: Eye of the North,2007.0,83.64
8973,Football Manager 2012,2011.0,88.49
8974,Football Manager 2013,2012.0,89.4
8975,Football Manager 2014,2013.0,86.02
8986,The Legend of Heroes: Trails in the Sky,2004.0,86.42
9014,Quadrilateral Cowboy,2016.0,86.25
9035,Tormentum: Dark Sorrow,2015.0,82.18
9037,The Blackwell Deception,2011.0,86.6
9046,Chroma Squad,2015.0,79.78
9058,Praetorians,2003.0,86.4
9059,Imperial Glory,2005.0,78.86
9061,Cuphead,2017.0,86.92
9067,StarCraft 64,2000.0,86.61
9103,Elasto Mania,2000.0,91.73
9112,The Book of Unwritten Tales 2,2015.0,80.92
9142,Guilty Gear X2,2002.0,85.76
9143,Guilty Gear X2 #Reload,2003.0,77.89
